"","reads.in","reads.out","perc_kept"
"MD-DNAexNeg-BTKlot58102910-250620-18s_S225_L001_R1_001.fastq.gz",61782,55712,0.901751319154446
"MD-PCRneg-Q5lot10267531-250706-18s_S240_L001_R1_001.fastq.gz",104671,94897,0.906621700375462
"MD-colA-1000-20250619-18s_S238_L001_R1_001.fastq.gz",93254,83491,0.89530743989534
"MD-colA-1400-20250619-18s_S239_L001_R1_001.fastq.gz",92085,83564,0.907465928218494
"MD-colA-600-20250619-18s_S237_L001_R1_001.fastq.gz",109705,99826,0.909949409780776
"MD-colA-top-20250619-18s_S236_L001_R1_001.fastq.gz",96686,87011,0.89993380634218
"MD-colB-1000-20250225-18s_S228_L001_R1_001.fastq.gz",130808,119041,0.910043728212342
"MD-colB-1400-20250225-18s_S229_L001_R1_001.fastq.gz",115186,104128,0.903998749848072
"MD-colB-1750-20250225-18s_S230_L001_R1_001.fastq.gz",90820,82058,0.903523452983924
"MD-colB-600-20250225-18s_S227_L001_R1_001.fastq.gz",100673,91800,0.911863160926962
"MD-colB-top-20250225-18s_S226_L001_R1_001.fastq.gz",111867,102888,0.919735042505833
"MD-colC-1000-20250225-18s_S233_L001_R1_001.fastq.gz",81138,74123,0.913542359929996
"MD-colC-1400-20250225-18s_S234_L001_R1_001.fastq.gz",89570,81726,0.912426035502959
"MD-colC-1750-20250225-18s_S235_L001_R1_001.fastq.gz",97889,89623,0.915557417074441
"MD-colC-600-20250225-18s_S232_L001_R1_001.fastq.gz",104746,95923,0.915767666545739
"MD-colC-top-20250225-18s_S231_L001_R1_001.fastq.gz",96324,88030,0.913894771811802
