"","x"
"MD-DNAexNeg-BTKlot58102910-250620-18s",0.986498617544616
"MD-PCRneg-Q5lot10267531-250706-18s",0.997447984223902
"MD-colA-1000-20250619-18s",0.850628422175096
"MD-colA-1400-20250619-18s",0.875517778043817
"MD-colA-600-20250619-18s",0.898399847699969
"MD-colA-top-20250619-18s",0.836270621371501
"MD-colB-1000-20250225-18s",0.99392370595107
"MD-colB-1400-20250225-18s",0.993303678653434
"MD-colB-1750-20250225-18s",0.994295117937466
"MD-colB-600-20250225-18s",0.992762390591108
"MD-colB-top-20250225-18s",0.99795858850977
"MD-colC-1000-20250225-18s",0.955857729285946
"MD-colC-1400-20250225-18s",0.959806995199373
"MD-colC-1750-20250225-18s",0.96194293114227
"MD-colC-600-20250225-18s",0.956348461137194
"MD-colC-top-20250225-18s",0.955311963430859
