	samp	input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MD-DNAexNeg-BTKlot58102910-250620-18s	MD-DNAexNeg-BTKlot58102910-250620-18s	61782	55712	55698	55703	54946	54877	88.8
MD-PCRneg-Q5lot10267531-250706-18s	MD-PCRneg-Q5lot10267531-250706-18s	104671	94897	94827	94886	94585	93934	89.7
MD-colA-1000-20250619-18s	MD-colA-1000-20250619-18s	93254	83491	83463	83441	70996	69531	74.6
MD-colA-1400-20250619-18s	MD-colA-1400-20250619-18s	92085	83564	83530	83532	73132	70081	76.1
MD-colA-600-20250619-18s	MD-colA-600-20250619-18s	109705	99826	99803	99792	89663	86585	78.9
MD-colA-top-20250619-18s	MD-colA-top-20250619-18s	96686	87011	86985	86960	72743	68869	71.2
MD-colB-1000-20250225-18s	MD-colB-1000-20250225-18s	130808	119041	118987	118935	118264	114003	87.2
MD-colB-1400-20250225-18s	MD-colB-1400-20250225-18s	115186	104128	104087	104072	103390	100860	87.6
MD-colB-1750-20250225-18s	MD-colB-1750-20250225-18s	90820	82058	82035	82030	81567	80239	88.3
MD-colB-600-20250225-18s	MD-colB-600-20250225-18s	100673	91800	91743	91733	91079	87801	87.2
MD-colB-top-20250225-18s	MD-colB-top-20250225-18s	111867	102888	102870	102859	102660	102381	91.5
MD-colC-1000-20250225-18s	MD-colC-1000-20250225-18s	81138	74123	74056	74058	70787	67498	83.2
MD-colC-1400-20250225-18s	MD-colC-1400-20250225-18s	89570	81726	81656	81642	78374	74585	83.3
MD-colC-1750-20250225-18s	MD-colC-1750-20250225-18s	97889	89623	89576	89553	86167	82777	84.6
MD-colC-600-20250225-18s	MD-colC-600-20250225-18s	104746	95923	95850	95829	91666	87144	83.2
MD-colC-top-20250225-18s	MD-colC-top-20250225-18s	96324	88030	87943	87975	84013	79913	83
