	colA-1000	colA-1400	colA-600	colA-top	colB-1000	colB-1400	colB-1750	colB-600	colB-top	colC-1000	colC-1400	colC-1750	colC-600	colC-top
ASV_408	0	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV_409	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV_410	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV_411	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV_412	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_413	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_414	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_415	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_416	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_417	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_418	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_419	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_420	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ASV_421	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ASV_422	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ASV_423	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV_424	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV_425	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV_426	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ASV_427	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV_428	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV_429	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV_430	0	0	0	0	4	1	0	0	0	0	0	0	0	0
ASV_431	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV_432	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV_433	0	0	0	0	0	5	0	0	0	0	0	0	0	0
ASV_434	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_435	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_436	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV_437	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV_438	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ASV_439	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV_440	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV_441	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ASV_442	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ASV_443	0	0	0	0	0	0	0	0	0	5	0	0	0	0
ASV_444	0	0	0	0	0	0	0	0	0	1	2	0	0	2
ASV_445	0	0	0	0	0	0	0	0	0	1	0	1	3	0
ASV_446	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV_447	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV_448	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV_449	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ASV_450	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV_451	0	0	0	0	0	0	0	0	0	0	0	0	5	0
ASV_452	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_453	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_454	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_455	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_456	3	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_457	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_458	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_459	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_460	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_461	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_462	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_463	0	2	0	0	0	0	0	0	0	0	1	1	0	0
ASV_464	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_465	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_466	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_467	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_468	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_469	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_470	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_471	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_472	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ASV_473	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_474	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_475	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_476	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_477	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_478	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_479	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_480	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_481	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_482	0	0	0	0	0	0	2	2	0	0	0	0	0	0
ASV_483	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_484	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_485	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_486	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_487	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_488	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_489	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_490	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_491	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_492	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_493	0	0	0	0	0	0	0	2	2	0	0	0	0	0
ASV_494	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_495	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_496	0	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV_497	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV_498	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV_499	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV_500	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV_501	0	0	0	0	0	0	0	0	0	0	0	4	0	0
ASV_502	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_503	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_504	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_505	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_506	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_507	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_508	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_509	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_510	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_511	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_512	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_513	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_514	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_515	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_516	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_517	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_518	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_519	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_520	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_521	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_522	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_523	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_524	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_525	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_526	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_527	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_528	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_529	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_530	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_531	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_532	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_533	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_534	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_535	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_536	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_537	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_538	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_539	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_540	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_541	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_542	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_543	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_544	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_545	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_546	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_547	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_548	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_549	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_550	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_551	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_552	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_553	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_554	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_555	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_556	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_557	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_558	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_559	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_560	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_561	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_562	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_563	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_564	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_565	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV_566	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_567	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_568	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_569	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_570	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_571	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_572	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_573	0	0	0	0	3	0	0	0	0	0	0	0	0	0
ASV_574	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_575	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_576	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_577	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_578	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_579	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_580	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_581	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_582	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_583	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_584	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_585	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_586	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_587	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_588	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_589	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_590	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_591	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_592	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_593	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_594	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_595	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_596	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_597	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_598	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_599	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_600	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_601	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_602	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_603	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_604	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_605	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_606	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_607	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_608	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_609	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_610	0	0	0	0	0	0	0	0	3	0	0	0	0	0
ASV_611	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_612	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_613	0	0	0	0	0	0	0	0	0	3	0	0	0	0
ASV_614	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_615	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_616	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_617	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_618	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_619	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_620	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_621	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_622	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_623	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_624	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_625	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_626	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_627	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_628	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_629	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_630	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_631	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_632	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_633	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_634	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ASV_635	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_636	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_637	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_638	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ASV_639	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_640	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_641	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_642	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_643	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_644	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_645	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV_646	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_647	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_649	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_650	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_651	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_652	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_653	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_654	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_655	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_656	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_657	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_658	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_659	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_660	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_661	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_662	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_663	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_664	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_665	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_666	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_667	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_668	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_669	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_670	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_671	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_672	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_673	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_674	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_675	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_676	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_677	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_678	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_679	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_680	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_681	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_682	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_683	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_684	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_685	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_686	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_687	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_688	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_689	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_690	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_691	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_692	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_693	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_694	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_695	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_696	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_697	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_698	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_699	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_700	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_701	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_702	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_703	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_704	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_705	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_706	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_707	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_708	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_709	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_710	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_711	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_712	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_713	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_714	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_715	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_716	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_717	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_718	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_719	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_720	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_721	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_722	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_723	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_724	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_725	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_726	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_727	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_728	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_729	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_730	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_731	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_732	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_733	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_734	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_735	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_736	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_737	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_738	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_739	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_740	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_741	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_742	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_743	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_744	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_745	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_746	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_747	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ASV_748	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_749	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_750	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_751	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_752	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_753	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_754	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_755	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_756	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_757	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_758	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_759	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_760	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_761	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_762	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_763	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_764	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_765	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_766	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_767	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_768	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ASV_769	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_770	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_771	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_772	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_773	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_774	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_775	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_776	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_777	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_778	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_779	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_780	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_781	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_782	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_783	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_784	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_785	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_786	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_787	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_788	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_789	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_790	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_791	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_792	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_793	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_794	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_795	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_796	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_797	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_798	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ASV_799	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_800	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_801	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_802	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_803	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_804	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_805	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_806	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_807	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_808	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_809	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_810	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_811	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_812	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_813	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_814	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_815	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_816	0	0	0	0	0	0	2	0	0	0	0	0	0	0
