	colA-1000	colA-1400	colA-600	colA-top	colB-1000	colB-1400	colB-1750	colB-600	colB-top	colC-1000	colC-1400	colC-1750	colC-600	colC-top
ASV_94	7	8	2	5	2	0	2	10	3	40	42	23	21	38
ASV_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_96	2	0	3	0	44	29	58	35	30	0	0	0	0	1
ASV_97	0	2	2	1	0	0	1	0	0	40	29	45	46	35
ASV_98	15	3	5	12	0	0	12	0	0	34	35	18	29	28
ASV_99	26	18	16	12	19	20	24	15	36	2	0	1	0	1
ASV_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	39	45	30	64	2	0	1	3	0	0	0	0	0	0
ASV_103	0	2	4	0	0	1	2	0	0	31	31	45	31	37
ASV_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	24	34	15	25	0	0	0	0	0	2	9	17	10	30
ASV_107	21	17	11	9	20	20	25	16	20	0	0	0	0	0
ASV_108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_111	13	14	16	7	13	8	12	6	6	7	12	12	10	10
ASV_112	36	21	16	34	6	6	10	3	13	0	0	0	0	0
ASV_113	12	9	14	10	20	23	20	14	15	0	2	0	2	2
ASV_114	21	22	22	20	1	2	3	1	3	11	6	6	7	17
ASV_115	27	26	30	16	6	5	11	2	13	0	0	0	0	2
ASV_116	20	14	7	9	5	9	11	7	12	9	0	14	12	9
ASV_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_119	5	10	4	4	14	5	7	10	7	7	9	12	15	21
ASV_120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	17	25	12	27	8	2	14	6	2	0	3	2	0	11
ASV_122	0	0	0	0	16	44	30	20	14	0	0	2	0	1
ASV_123	13	17	5	7	1	0	0	0	1	18	15	10	18	20
ASV_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_125	6	11	7	13	0	0	1	0	0	9	19	18	14	25
ASV_126	0	0	0	0	37	8	23	30	25	0	0	0	0	0
ASV_127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	13	7	3	11	2	1	3	0	5	6	4	5	6	17
ASV_129	17	29	15	8	0	4	3	6	12	1	3	8	3	9
ASV_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_131	1	0	1	4	0	0	0	0	0	19	18	21	22	30
ASV_132	0	0	0	0	0	0	1	0	0	21	15	36	15	28
ASV_133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_135	15	14	8	7	0	7	4	5	10	4	6	7	13	11
ASV_136	0	1	5	0	15	26	30	12	21	0	0	0	0	0
ASV_137	29	31	17	14	0	2	8	0	3	0	0	0	0	0
ASV_138	0	0	3	0	10	16	36	20	21	0	0	0	0	0
