"ASV","contaminant","p_prev"
"ASV_1",FALSE,0.5
"ASV_2",FALSE,0.5
"ASV_3",FALSE,0.5
"ASV_4",FALSE,0.5
"ASV_5",FALSE,0.9375
"ASV_6",FALSE,0.9375
"ASV_7",FALSE,0.995833333333333
"ASV_8",FALSE,0.995833333333333
"ASV_9",FALSE,0.9375
"ASV_10",FALSE,0.5
"ASV_11",FALSE,0.9375
"ASV_12",TRUE,0.1875
"ASV_13",FALSE,0.9375
"ASV_14",FALSE,0.9375
"ASV_15",FALSE,NA
"ASV_16",FALSE,0.9375
"ASV_17",TRUE,0.0416666666666667
"ASV_18",FALSE,0.9375
"ASV_19",FALSE,0.995833333333333
"ASV_20",FALSE,0.995833333333333
"ASV_21",FALSE,0.9375
"ASV_22",FALSE,0.995833333333333
"ASV_23",FALSE,0.995833333333333
"ASV_24",FALSE,0.9375
"ASV_25",FALSE,NA
"ASV_26",FALSE,0.9375
"ASV_27",FALSE,0.625
"ASV_28",FALSE,0.995833333333333
"ASV_29",FALSE,0.995833333333333
"ASV_30",FALSE,NA
"ASV_31",FALSE,NA
"ASV_32",FALSE,0.5
"ASV_33",FALSE,0.770833333333333
"ASV_34",FALSE,NA
"ASV_35",FALSE,0.995833333333333
"ASV_36",FALSE,0.995833333333333
"ASV_37",FALSE,0.995833333333333
"ASV_38",FALSE,NA
"ASV_39",FALSE,0.995833333333333
"ASV_40",FALSE,0.995833333333333
"ASV_41",FALSE,0.975
"ASV_42",FALSE,0.9375
"ASV_43",FALSE,0.995833333333333
"ASV_44",FALSE,0.995833333333333
"ASV_45",FALSE,0.9375
"ASV_46",FALSE,0.995833333333333
"ASV_47",FALSE,NA
"ASV_48",FALSE,NA
"ASV_49",FALSE,0.6875
"ASV_50",FALSE,0.770833333333333
"ASV_51",FALSE,0.875
"ASV_52",FALSE,0.995833333333333
"ASV_53",FALSE,0.9375
"ASV_54",FALSE,0.8125
"ASV_55",FALSE,NA
"ASV_56",FALSE,0.6875
"ASV_57",FALSE,0.995833333333333
"ASV_58",FALSE,0.958333333333333
"ASV_59",FALSE,0.995833333333333
"ASV_60",FALSE,NA
"ASV_61",FALSE,0.995833333333333
"ASV_62",TRUE,0.0625
"ASV_63",FALSE,NA
"ASV_64",FALSE,NA
"ASV_65",FALSE,0.995833333333333
"ASV_66",FALSE,NA
"ASV_67",FALSE,0.9875
"ASV_68",FALSE,0.9375
"ASV_69",FALSE,0.625
"ASV_70",FALSE,0.995833333333333
"ASV_71",FALSE,NA
"ASV_72",FALSE,0.995833333333333
"ASV_73",FALSE,0.995833333333333
"ASV_74",FALSE,0.9375
"ASV_75",FALSE,0.875
"ASV_76",FALSE,0.883333333333333
"ASV_77",FALSE,0.85
"ASV_78",FALSE,0.770833333333333
"ASV_79",FALSE,0.9375
"ASV_80",FALSE,NA
"ASV_81",FALSE,0.85
"ASV_82",FALSE,0.9875
"ASV_83",FALSE,0.9875
"ASV_84",FALSE,NA
"ASV_85",FALSE,0.9125
"ASV_86",FALSE,NA
"ASV_87",FALSE,0.9375
"ASV_88",FALSE,0.8125
"ASV_89",FALSE,0.8125
"ASV_90",FALSE,NA
"ASV_91",FALSE,0.995833333333333
"ASV_92",FALSE,NA
"ASV_93",FALSE,0.9125
"ASV_94",FALSE,0.9875
"ASV_95",FALSE,NA
"ASV_96",FALSE,0.883333333333333
"ASV_97",FALSE,0.9125
"ASV_98",FALSE,0.9375
"ASV_99",FALSE,0.975
"ASV_100",FALSE,NA
